,code
1771,4508
1772,4505
1773,503
1774,4495
1775,4491
1776,504
1777,501
1778,4489
1779,4487
1780,500
1781,499
1782,4485
1783,4482
1784,497
1785,4478
1786,496
1787,4475
1788,4471
1789,498
1790,494
1791,4468
1792,493
1793,4464
1794,4460
1795,4457
1796,492
1797,491
1798,4454
1799,4452
1800,490
1801,4449
1802,488
1803,4445
1804,4443
1805,489
1806,487
1807,4432
1808,485
1809,4428
1810,4421
1811,486
1812,4412
1813,483
1814,4408
1815,481
1816,4386
1817,480
1818,4382
1819,4379
1820,482
1821,479
1822,4376
1823,478
1824,4366
1825,4364
1826,477
1827,4362
1828,4359
1829,476
1830,475
1831,4357
1832,474
1833,4354
1834,4351
1835,473
1836,472
1837,4341
1838,4335
1839,471
1840,470
1841,4325
1842,468
1843,4322
1844,4317
1845,469
1846,467
1847,4315
1848,466
1849,4306
1850,4304
1851,465
1852,4301
1853,4288
1854,464
1855,4285
1856,4282
1857,463
1858,4279
1859,4273
1860,4268
1861,460
1862,4260
1863,4258
1864,459
1865,4256
1866,4254
1867,458
1868,457
1869,4252
1870,4242
1871,456
1872,455
1873,4239
1874,454
1875,4237
1876,4234
1877,453
1878,4231
1879,451
1880,4227
1881,452
1882,450
1883,4225
1884,4222
1885,449
1886,4220
1887,448
1888,4209
1889,447
1890,4206
1891,446
1892,4192
1893,445
1894,4190
1895,443
1896,4186
1897,444
1898,442
1899,4182
1900,4174
1901,440
1902,4172
1903,439
1904,4160
1905,441
1906,438
1907,4158
1908,4155
1909,4139
1910,437
1911,436
1912,4126
1913,435
1914,434
1915,4119
1916,433
1917,432
1918,4114
1919,431
1920,4112
1921,4099
1922,430
1923,429
1924,4096
1925,428
1926,427
1927,4088
1928,426
1929,425
1930,4084
1931,4078
1932,4075
1933,424
1934,423
1935,4065
1936,421
1937,4056
1938,4049
1939,4044
1940,422
1941,420
1942,4039
1943,4034
1944,4030
1945,419
1946,418
1947,4027
1948,4023
1949,4019
1950,417
1951,416
1952,4016
1953,4011
1954,4007
1955,415
1956,414
1957,4004
1958,3999
1959,3994
1960,3989
1961,413
1962,412
1963,3986
1964,3981
1965,3978
1966,3973
1967,411
1968,3963
1969,410
1970,409
1971,3960
1972,408
1973,407
1974,3955
1975,3950
1976,405
1977,3947
1978,3941
1979,3936
1980,406
1981,404
1982,403
1983,402
1984,401
1985,400
1986,3931
1987,399
1988,398
1989,3928
1990,397
1991,396
1992,3924
1993,395
1994,394
1995,3918
1996,393
1997,392
